"parentTopicId","parentTopicSlug","childTopicId","childTopicSlug"
7424015264236886140,"college",8582816108322904754,"stetson-university"
10000000000000019977,"southern-united-states",7000272003859451486,"alabama"
8582816108322901654,"soul-music",627,"lenny-kravitz"
6490289872610913965,"telecommunications",9219221220892057556,"qualcomm"
9105155007173806684,"philosophy",6635,"ethics"
8582816108322875197,"neo-soul-music",10000000000000010320,"macy-gray"
10000000000000016629,"fashion-super",6282405736560313457,"tanning"
10000000000000000001,"food-and-drink-super",10000000000000017636,"sodas"
4960743447203102777,"biotechnology",10000000000000017513,"23andme"
5646379875885211920,"technology",6715916572741025395,"artificial-intelligence"
5553113223778426161,"fashion",9219221220892055398,"ed-hardy"
10000000000000018995,"animated-movies",7964,"family-guy"
8613801576760470017,"shopping",509,"target"
8612123615593663796,"jazz",10000000000000019690,"patti-labelle"
1297,"rock-music",8811240214664705355,"lady-gaga"
10000000000000017194,"video-game-companies",717,"maxis"
7885435154132139969,"jewelry",888,"swarovski"
10000000000000016632,"entertainment-super",8612123615593663796,"jazz"
5622927713684255417,"astronomy",9219221220892056338,"cosmology"
9219221220892054692,"great-lakes",9219221220892055162,"lake-michigan"
8582816108322835340,"figure-skating",10000000000000018615,"ice-dancing"
10000000000000016914,"labor-unions",10000000000000018367,"teamsters"
7424015264236886140,"college",10000000000000018114,"calvin-college"
6506298410212438936,"soccer",10000000000000018639,"queens-park-rangers-fc"
8611482751212451330,"italy",10000000000000020058,"piedmont"
8011822779745839479,"feminism",21,"womens-rights"
7008943767379250621,"sports",10000000000000011404,"stade-de-france"
9219221220892056455,"consumer-electronics",10000000000000019541,"konica-minolta"
10000000000000016634,"business-super",8295044628939853808,"angel-investing"
6876911932725542370,"ireland",9219221220892056643,"sligo"
10000000000000019018,"experimental-music",10000000000000009944,"the-cool-kids"
10000000000000017421,"singer-songwriters",9219221220892055221,"paula-abdul"
10000000000000017232,"currencies",9219221220892054042,"euro"
5241585099662481339,"music",8582816108322848868,"indie-pop"
1726,"hard-rock",10000000000000018553,"you-me-at-six"
9219221220892057944,"hardcore-punk",9219221220892057516,"rise-against"
5241585099662481339,"music",597,"ozzy-osbourne"
1297,"rock-music",10000000000000019688,"otis-redding"
10000000000000017426,"fandom",9219221220892056793,"felicia-day"
8582816108322877356,"nonprofit-sector",8795061344108952057,"ymca"
7142388197614860160,"country-music",10000000000000008603,"faith-hill"
8655841127676549162,"social-media",9219221220892055890,"flipboard"
5987120792558607184,"watches",10000000000000019429,"moto-360"
10000000000000017419,"r-and-b",10000000000000018567,"sistar"
7424015264236886140,"college",10000000000000017713,"university-of-chicago"
10000000000000016633,"art",10000000000000008306,"tate"
10000000000000000001,"food-and-drink-super",5411565666250928639,"cooking"
10000000000000017357,"actors",9219221220892056227,"rachel-mcadams"
5241585099662481339,"music",10000000000000019649,"bossa-nova"
5241585099662481339,"music",9219221220892057021,"peter-frampton"
7424015264236886140,"college",8582816108322916467,"university-of-florida"
7648257024411397825,"film",9219221220892055175,"high-school-musical"
9118006162132681215,"project-management",10000000000000019197,"program-management"
