6379344339574414275,"video-games",1116,"casio-usa"
10000000000000017421,"singer-songwriters",9219221220892058999,"kris-allen"
6649525428725321226,"poetry",1324,"clarisonic"
8582816108322807145,"baseball",7511159421148524137,"boston-red-sox"
8582816108322807957,"behavioral-economics",10000000000000008557,"freakonomics"
6932505724866831970,"running",222,"al-arabiya-news-channel"
6863177821414470941,"authors",822,"noam-chomsky"
7001261050892451965,"heavy-metal",10000000000000019666,"ice-t"
7771967763877694528,"finance",10000000000000009629,"warren-buffett"
981,"bunn",9219221220892057550,"billy-idol"
6506298410212438936,"soccer",8582816108322808410,"sl-benfica"
4724110841678738548,"germany",10000000000000020030,"saxony-anhalt"
981,"punk-rock",538,"ryan-adams"
8725099760891703283,"comics",6583139414877803269,"webcomic"
5287316586653136390,"southern-california",6324318900438113253,"san-diego"
8755118992863343010,"electronics",731,"roku"
10000000000000019944,"central-asia",223,"alaska-airlines"
1297,"cites",10000000000000017576,"alt-j"
10000000000000017681,"folk-rock",1752,"ryan-gosling"
5144818194631006088,"software",423,"arm-holdings"
10000000000000016434,"computer-programming",8582816108322796530,"abap-programming"
7424015264236886140,"college",10000000000000017769,"university-of-oregon"
10000000000000000002,"government-and-politics-super",5471580028855949340,"law-enforcement"
8582816108322835406,"film-production",10000000000000011731,"ron-howard"
10000000000000017515,"trance-music",10000000000000011466,"faithless"
8623340011665545666,"television",10000000000000017651,"hawaii-five-0"
10000000000000016450,"history",9219221220892055802,"dr-martin-luther-king"
4644906719779892668,"seo",277,"alzheimers-association"
10000000000000018929,"internal-medicine",1295,"heart-disease"
9219221220892056882,"mexican-cuisine",7736,"taco-bell"
7424015264236886140,"college",10000000000000017975,"university-of-wisconsin-milwaukee"
1218,"nature",10000000000000016903,"volcanoes"
5144818194631006088,"software",10000000000000016926,"mac-os-mavericks"
8582816108322807207,"basketball",10000000000000009911,"manu-ginobili"
9219221220892057566,"drum-and-bass",1524,"tiesto"
10000000000000016450,"history",10000000000000018439,"ethnohistory"
981,"bunn",10000000000000009299,"cage-the-elephant"
5144818194631006088,"software",8582816108322843315,"hadoop"
6136498691401480079,"advertising",9219221220892055018,"infomercial"
3297,"ketnergrouppr",6540,"titanic"
10000000000000017676,"electronic-dance-music",10000000000000009838,"sia-furler"
1297,"cites",992,"snow-patrol"
8582816108322846862,"house-music",10000000000000011403,"simian-mobile-disco"
5241585099662481339,"music",9219221220892054265,"george-harrison"
10000000000000000006,"sports-and-recreation-super",10000000000000018655,"australian-rules-football"
10000000000000017237,"streaming-video-services",1680,"apple-tv"
2466,"garanti-bank",3251,"k2"
7319847847003448045,"biology",8582816108322809407,"bioengineering"
10000000000000018433,"magazines",435,"newsweek"
7001261050892451965,"heavy-metal",2797,"red-hot-chili-peppers"
10000000000000017660,"indie-rock",10000000000000019721,"wilco"
10000000000000019805,"west-africa",832,"bay-news-9"
10000000000000017681,"folk-rock",539,"avaya"
8582816108322900567,"sludge-metal",10000000000000010027,"baroness"
1218,"nature",10000000000000018927,"environmental-regulation"
1297,"cites",7364693937552747920,"goo-goo-dolls"
10000000000000016632,"entertainment-super",1342,"clif-bar-and-company"
10000000000000019946,"east-asia",5626203609725388637,"china"
10000000000000017357,"actors",10000000000000012663,"rashida-jones"
8226386291923137474,"software-development",9219221220892054853,"rdf"
7319847847003448045,"biology",6506,"dna"
10000000000000020118,"valencian-country",8063927685963868414,"valencia"
1297,"cites",9219221220892056822,"kid-rock"
8582816108322886634,"pop-music",9219221220892055253,"cyndi-lauper"
5241585099662481339,"music",593,"banco-do-brasil"
8582816108322906649,"swimming",10000000000000011924,"diana-nyad"
8582816108322807207,"basketball",3751,"maxpreps"
4905695119825569183,"graphic-design",10000000000000009871,"adobe-illustrator"
1297,"rock-music",10000000000000008444,"janelle-monae"
5065880699152032748,"restaurants",10000000000000019600,"wendys"
5241585099662481339,"music",8927620729860366815,"bollywood"
5124804058834987200,"blues",4763987748734566250,"bruno-mars"
7001261050892451965,"heavy-metal",10000000000000019676,"korn"
5626203609725388637,"china",10000000000000019990,"eastern-china"
8582816108322886634,"pop-music",6066156579846813782,"hanson"
2466,"garanti-bank",10000000000000017069,"smart-watches"
9219221220892055420,"central-america",4947960245444932079,"honduras"
10000000000000017419,"r-and-b",10000000000000009846,"paulina-rubio"
8786128500251168300,"shoes",6063608810266817633,"nike"
4947796342271921345,"weight-loss",10000000000000017277,"body-mass-index"
10000000000000016617,"celebrities",9219221220892056385,"ricky-martin"
8582816108322886634,"pop-music",10000000000000019663,"glen-campbell"
8582816108322830695,"electropop",6377279268810572020,"britney-spears"
9219221220892058598,"innovation",749,"bg-group"
5646379875885211920,"technology",62252,"steve-jobs"
8582816108322908713,"tennis",10000000000000008948,"wta"
1337,"communism",482,"kgb"
4926751827324483134,"colorado",1217,"charity-navigator"
10000000000000016450,"history",4705149895608729702,"franklin-d-roosevelt"
9219221220892056962,"file-sharing",2591,"google-docs"
5241585099662481339,"music",10000000000000010353,"joe-satriani"
5241585099662481339,"music",6377279268810572020,"britney-spears"
10000000000000017442,"k-pop",10000000000000018565,"jyj"
6500347993528424267,"education",10000000000000019445,"parochial-schools"
8582816108322887996,"bluegrass",9219221220892055620,"dave-matthews-band"
10000000000000019434,"new-york-state",9176312690129411704,"syracuse"
8582816108322807145,"baseball",9219221220892054890,"little-league"
5241585099662481339,"music",10000000000000018513,"johnny-mathis"
5124804058834987200,"blues",10000000000000010158,"joe-bonamassa"
6339377141674114651,"palestine",8854035493800047894,"gaza"
