#user_id_fingerprint	#actor_id_fingerprint	#post_id_fingerprint	#post_timestamp	#action_timestamp	#user_timezone
-2885777262370136648	-4699764021393260065	-7678624934397906886	1413331192999	1413345318999	Pacific Standard Time
-5188631575621144775	-1695356529095420200	6518595764211529471	1413331192998	1413331285999	Mountain Standard Time
-2885777262370136648	4473913296146534648	-7678624934397906886	1413331192997	1413339526999	Pacific Standard Time
-534765003221388769	3597974230090243000	-4622663346470352677	1413331192997	1413412256998	Western European Time
-3555855622027530389	-1259802274311866818	-4595433435734274749	1413331192002	1413331419001	Eastern Standard Time
595758640750364029	1878544262241141890	-5431554672399619647	1413331192001	1413332628000	Eastern Standard Time
-3555855622027530389	8156784239005690997	-4595433435734274749	1413331192001	1413333929999	Eastern Standard Time
786244279501877850	-193007146360463205	7996679176781425269	1413331192001	1413417243001	Eastern Standard Time
-6032316101003070337	-3234187633923125464	5271134462183103684	1413331192001	1413351947000	Central European Time
-3555855622027530389	1497418535195260454	-4595433435734274749	1413331192001	1413334055998	Eastern Standard Time
-3555855622027530389	8156784239005690997	-4595433435734274749	1413331191999	1413333991001	Eastern Standard Time
-6032316101003070337	3338664637994080431	5271134462183103684	1413331191998	1413334426999	Central European Time
-8916992028162370201	1569257455278992224	623092417329278994	1413331191998	1413333802000	Eastern Standard Time
-8035967117641935855	8134462169140662106	451544367024888536	1413331191998	1413334027999	Eastern Standard Time
-8916992028162370201	1569257455278992224	623092417329278994	1413331191997	1413333814001	Eastern Standard Time
7655053038465369399	-4828320577700780726	-3209565553322502447	1413331191002	1413336096001	Central Standard Time
6583577810509082655	-3744252554219298560	3677424704578305315	1413331191002	1413336385000	Central Standard Time
1511701789965517961	-5331327881778986640	-2114497817014384771	1413331191002	1413332104998	Central Standard Time
-3024262500720144013	-7448759907105106976	4320398672585284457	1413331191002	1413334906000	Japan Standard Time
1511701789965517961	-1483745201475983201	-2114497817014384771	1413331191001	1413342112999	Central Standard Time
7655053038465369399	-4828320577700780726	-3209565553322502447	1413331191000	1413335465000	Central Standard Time
1511701789965517961	3207836500896664256	-2114497817014384771	1413331191000	1413334476999	Central Standard Time
7655053038465369399	-6511963660602479775	-3209565553322502447	1413331191000	1413332416000	Central Standard Time
1511701789965517961	3207836500896664256	-2114497817014384771	1413331190999	1413332659000	Central Standard Time
6583577810509082655	3217300920111543283	3677424704578305315	1413331190998	1413338810998	Central Standard Time
8246099173496735886	-3166935356877667431	3543349056660825773	1413331190998	1413339803001	Pacific Standard Time
6583577810509082655	2805080183050405125	3677424704578305315	1413331190998	1413333791000	Central Standard Time
6583577810509082655	9014664962152706511	3677424704578305315	1413331190998	1413331652999	Central Standard Time
7655053038465369399	-8834849598255707971	-3209565553322502447	1413331190997	1413332938001	Central Standard Time
-7965092493398670146	-2649596860775922270	1068661210095272657	1413331190997	1413331296999	Eastern Standard Time
1511701789965517961	-2123069850240569311	-2114497817014384771	1413331190997	1413339216999	Central Standard Time
-7705925756247149709	-8369582028711926743	-1358236686093356345	1413331190997	1413331501999	Greenwich Mean Time
-7453391786764966450	-1673558280928938871	-1922499598851548132	1413331190002	1413347620001	Pacific Standard Time
-7453391786764966450	2723695471459729483	-1922499598851548132	1413331190001	1413339766001	Pacific Standard Time
-7453391786764966450	7881729735417136495	-1922499598851548132	1413331190001	1413333096001	Pacific Standard Time
2736244965260617222	2221644628326810056	4908019583195048840	1413331189998	1413331859000	Fernando de Noronha Time
-7453391786764966450	-1894390790917386221	-1922499598851548132	1413331189997	1413337661000	Pacific Standard Time
213213107000530907	8435141923463356122	2552284053471331166	1413331189002	1413331568999	Eastern Standard Time
-566326918986848708	5465919922400574983	5350908769851202225	1413331189000	1413331648000	Pacific Standard Time
6534869881489780174	-961911925967618031	-7866252596467745931	1413331188999	1413345140000	Hawaii-Aleutian Standard Time
-2701998531081559337	-154810928188131044	1555587387089300889	1413331188997	1413375088999	Eastern Standard Time
-2701998531081559337	-9075278683159993789	1555587387089300889	1413331188997	1413340244999	Eastern Standard Time
213213107000530907	8435141923463356122	2552284053471331166	1413331188997	1413331281000	Eastern Standard Time
-566326918986848708	5465919922400574983	5350908769851202225	1413331188997	1413334219999	Pacific Standard Time
-5038094638097938480	-2822606724996626832	-9197699106867994875	1413331188002	1413378064998	Eastern Standard Time
1965705600850443836	5788826120924739451	8569937123378415158	1413331188002	1413350112001	Mountain Standard Time
-8284841373202146570	-2612148576566969181	302334259699289217	1413331188002	1413342747998	Japan Standard Time
-8284841373202146570	-2612148576566969181	302334259699289217	1413331188002	1413333108000	Japan Standard Time
463565370792605335	8752897758494665109	1597599259350379777	1413331188002	1413332696999	Fernando de Noronha Time
-5038094638097938480	-2822606724996626832	-9197699106867994875	1413331188000	1413378221001	Eastern Standard Time
-4457988010833690793	5219447945239304748	-7613953664909789329	1413331188000	1413337207001	Pacific Standard Time
-5038094638097938480	-2822606724996626832	-9197699106867994875	1413331187999	1413385391998	Eastern Standard Time
1965705600850443836	5788826120924739451	8569937123378415158	1413331187998	1413332072001	Mountain Standard Time
1965705600850443836	7750884887491847968	8569937123378415158	1413331187998	1413334126999	Mountain Standard Time
-4457988010833690793	5219447945239304748	-7613953664909789329	1413331187998	1413337209998	Pacific Standard Time
-5038094638097938480	-3440981601795734107	-9197699106867994875	1413331187997	1413335755000	Eastern Standard Time
-5038094638097938480	-2531997546648208971	-9197699106867994875	1413331187997	1413334042001	Eastern Standard Time
-5038094638097938480	-3440981601795734107	-9197699106867994875	1413331187997	1413382052000	Eastern Standard Time
8512246302502092909	5010530272370204582	-4688382914762559965	1413331187997	1413331673999	Venezuela Time
-8054602656141176323	-7181792138685884679	-2528201159269693966	1413331187002	1413332418999	Eastern Standard Time
-2106631664386607528	-8226245381078493893	5935135825356620403	1413331187002	1413332002999	Eastern Standard Time
-2606014417036401279	-1208680975634457356	-5116599652913895521	1413331187002	1413384883999	India Standard Time
-2606014417036401279	2392216308085194429	-5116599652913895521	1413331187002	1413356639999	India Standard Time
-2606014417036401279	-1891299340978521436	-5116599652913895521	1413331187001	1413390780000	India Standard Time
-2606014417036401279	3336272882067562667	-5116599652913895521	1413331187001	1413360207000	India Standard Time
-2106631664386607528	4207849824546549481	5935135825356620403	1413331187001	1413334723999	Eastern Standard Time
-2106631664386607528	4102275829654587199	5935135825356620403	1413331187001	1413405284998	Eastern Standard Time
-2106631664386607528	2780145313717637218	5935135825356620403	1413331187000	1413332018999	Eastern Standard Time
-2106631664386607528	5280547799262015655	5935135825356620403	1413331187000	1413337226999	Eastern Standard Time
-2606014417036401279	-2992551182200479328	-5116599652913895521	1413331187000	1413380378998	India Standard Time
-2106631664386607528	8952181842509259617	5935135825356620403	1413331187000	1413334946000	Eastern Standard Time
-2106631664386607528	9151326530977222409	5935135825356620403	1413331186999	1413400831998	Eastern Standard Time
-2106631664386607528	-8434621607290301255	5935135825356620403	1413331186999	1413339669001	Eastern Standard Time
-2606014417036401279	-8321964245661183147	-5116599652913895521	1413331186999	1413335259000	India Standard Time
-8284841373202146570	-2612148576566969181	-7257794988703887717	1413331186999	1413333107999	Japan Standard Time
-2606014417036401279	5425937808460700870	-5116599652913895521	1413331186999	1413336282999	India Standard Time
-2106631664386607528	6097803062957847798	5935135825356620403	1413331186998	1413331230001	Eastern Standard Time
-8284841373202146570	-2612148576566969181	-7257794988703887717	1413331186998	1413342748000	Japan Standard Time
-2606014417036401279	-3418913929940803324	-5116599652913895521	1413331186997	1413404474999	India Standard Time
-2106631664386607528	3283721975576788003	5935135825356620403	1413331186997	1413333277999	Eastern Standard Time
-2274800240236654561	8312218262748209797	-5859081076155997032	1413331186002	1413338220999	Eastern Standard Time
-8400501066865954048	1908366680606779799	-1322889990441966632	1413331186001	1413340847999	Pacific Standard Time
-2274800240236654561	-7628820874352117380	-5859081076155997032	1413331186001	1413359066999	Eastern Standard Time
-8400501066865954048	1982094325911544972	-1322889990441966632	1413331186001	1413340608000	Pacific Standard Time
-8400501066865954048	1908366680606779799	-1322889990441966632	1413331186000	1413341608999	Pacific Standard Time
1827312734219100955	5170611283306196061	3930178713079249473	1413331186000	1413374267000	Pacific Standard Time
7103984461741758140	-3493110881278217375	8914303239250028354	1413331185999	1413331514001	Eastern Standard Time
-2274800240236654561	3249787433852609686	-5859081076155997032	1413331185999	1413362139999	Eastern Standard Time
-8400501066865954048	-3450245769688879103	-1322889990441966632	1413331185998	1413333848001	Pacific Standard Time
-8400501066865954048	5411963053848018272	-1322889990441966632	1413331185998	1413336243000	Pacific Standard Time
-8400501066865954048	-3288249887179452915	-1322889990441966632	1413331185998	1413341464000	Pacific Standard Time
