#user_id_fingerprint	#actor_id_fingerprint	#post_id_fingerprint	#post_timestamp	#action_timestamp	#user_timezone
342974838997530624	-2643508212540584573	624378331071342178	1413331199000	1413331484999	Atlantic Standard Time
342974838997530624	466478469852125230	7339466303506382090	1413331199000	1413412521999	Atlantic Standard Time
-3484984757207668258	3556974668851289130	-4552912208051205608	1413331199000	1413334560999	Venezuela Time
342974838997530624	-4518223732280806819	-8997686917362262420	1413331199000	1413331491999	Atlantic Standard Time
-3484984757207668258	-7855518645606466942	-4552912208051205608	1413331199000	1413332793001	Venezuela Time
-3484984757207668258	207720585038142140	-4552912208051205608	1413331199000	1413332292999	Venezuela Time
-4954236801923429761	-3760718344060060325	-6632947339539675961	1413331199000	1413332933999	Pacific Standard Time
-3484984757207668258	-5247577391050397220	-4552912208051205608	1413331199000	1413331303001	Venezuela Time
342974838997530624	-8398343487295444463	-8997686917362262420	1413331199000	1413371510001	Atlantic Standard Time
342974838997530624	8551217968956216095	-8997686917362262420	1413331199000	1413331953998	Atlantic Standard Time
342974838997530624	-3893355011474414806	624378331071342178	1413331199000	1413351879000	Atlantic Standard Time
-3484984757207668258	5438553172921081415	-4552912208051205608	1413331198999	1413331635000	Venezuela Time
342974838997530624	-374794431533604131	7339466303506382090	1413331198999	1413336475998	Atlantic Standard Time
342974838997530624	-5404596730528984611	624378331071342178	1413331198999	1413332053000	Atlantic Standard Time
342974838997530624	2964744912748279694	-8997686917362262420	1413331198999	1413342796999	Atlantic Standard Time
-7518079944166199214	-2357662269779996721	8503003934374044359	1413331198999	1413331787998	Indonesia Western Time
342974838997530624	-4351963901039406016	7339466303506382090	1413331198999	1413332196999	Atlantic Standard Time
-3484984757207668258	4192879326760001667	-4552912208051205608	1413331198999	1413331648000	Venezuela Time
6575746810872939497	357603138653124175	4829261533162128830	1413331198999	1413332286998	Eastern Standard Time
-247481062692883114	8197565885526123819	-2473922086133729839	1413331198999	1413342682001	Central Standard Time
342974838997530624	8676290977096593280	7339466303506382090	1413331198999	1413333698999	Atlantic Standard Time
342974838997530624	-5723180860418458496	624378331071342178	1413331198998	1413331511999	Atlantic Standard Time
342974838997530624	4861302201706264544	7339466303506382090	1413331198998	1413332995000	Atlantic Standard Time
